Ref_Date,GEO,Geographical classification,FUEL,Vector,Coordinate,Value
1980/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,34.4
1980/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,35.3
1980/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,35.4
1981/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,37.6
1981/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,37.6
1981/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,39.8
1981/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,40.6
1981/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,41.7
1981/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,43.9
1981/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,43.8
1981/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,43.8
1981/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,45.9
1981/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,45.9
1981/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,46.3
1981/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,46.9
1982/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,46.9
1982/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,46.9
1982/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,49.8
1982/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,49.9
1982/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,50.2
1982/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,50.3
1982/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,50.3
1982/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,50.0
1982/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,52.9
1982/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.2
1982/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.3
1982/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.3
1983/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,52.4
1983/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,52.0
1983/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.4
1983/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.0
1983/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.7
1983/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.7
1983/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.2
1983/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.2
1983/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1983/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.4
1983/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.6
1983/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.6
1984/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.4
1984/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.5
1984/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.5
1984/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.5
1984/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.5
1984/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.4
1984/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.1
1984/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.2
1984/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.1
1984/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.2
1984/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.0
1984/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.4
1985/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.4
1985/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.8
1985/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.0
1985/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.3
1985/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.3
1985/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.1
1985/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.9
1985/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.9
1985/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.9
1985/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.5
1985/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.7
1985/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,65.3
1986/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.3
1986/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.7
1986/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.9
1986/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.4
1986/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.3
1986/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.5
1986/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.1
1986/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,54.0
1986/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.9
1986/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.9
1986/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,54.2
1986/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,54.8
1987/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.8
1987/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.1
1987/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.2
1987/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.8
1987/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.7
1987/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.6
1987/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1987/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1987/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1987/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1987/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1987/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1988/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1988/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1988/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.3
1988/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.9
1988/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.9
1988/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.9
1988/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.9
1988/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.1
1988/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,54.8
1988/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,54.9
1988/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.9
1988/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.5
1989/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.2
1989/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.2
1989/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,53.6
1989/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,55.4
1989/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.5
1989/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.6
1989/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1989/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1989/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1989/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1989/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1989/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1990/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.4
1990/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.8
1990/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.9
1990/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.9
1990/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.5
1990/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.2
1990/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.2
1990/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.2
1990/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.0
1990/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,68.5
1990/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.9
1990/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,73.7
1991/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,77.0
1991/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,72.4
1991/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,68.2
1991/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.9
1991/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.8
1991/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.8
1991/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.8
1991/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.8
1991/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1991/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.5
1991/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1991/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1992/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1992/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.7
1992/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.1
1992/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.4
1992/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.7
1992/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.8
1992/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.9
1993/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.3
1993/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.2
1993/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.7
1993/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.7
1993/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.5
1993/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.8
1993/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.3
1993/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.7
1993/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.8
1993/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.1
1993/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,57.8
1993/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.1
1994/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.5
1994/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,56.9
1994/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.9
1994/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,59.8
1994/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.3
1994/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.9
1994/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.9
1994/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.9
1994/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.9
1994/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.9
1994/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.9
1994/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.9
1995/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.8
1995/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.8
1995/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1995/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.7
1995/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.1
1995/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.1
1995/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.1
1995/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.3
1995/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,65.8
1995/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,65.4
1995/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.6
1995/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.6
1996/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,63.6
1996/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.6
1996/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.8
1996/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.5
1996/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1996/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.3
1996/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,58.9
1996/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,60.5
1996/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,65.5
1996/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,65.5
1996/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.8
1996/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.0
1997/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.2
1997/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.2
1997/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.1
1997/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,71.6
1997/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,70.9
1997/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,70.9
1997/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,71.0
1997/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,71.0
1997/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,71.3
1997/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,70.7
1997/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.8
1997/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,70.1
1998/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,70.0
1998/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,69.5
1998/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,67.6
1998/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.3
1998/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,66.6
1998/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.6
1999/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,62.1
1999/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.6
1999/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,61.6
1999/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,64.9
